Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[cell type]	Characteristics[infect]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[infect]	Factor Value[time]	Unit[time unit]	Factor Value[single cell ID]
steady_state_12353_cell42	ERS985828	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell42	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_42_	sequencing assay	ERX1225455	12353_42_2.fastq.gz	12353_42_2.fastq.gz	ERR1146653	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146653/ERR1146653_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 238
steady_state_12353_cell44	ERS985829	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell44	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_44_	sequencing assay	ERX1225456	12353_44_1.fastq.gz	12353_44_1.fastq.gz	ERR1146654	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146654/ERR1146654_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 239
steady_state_12353_cell44	ERS985829	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell44	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_44_	sequencing assay	ERX1225456	12353_44_2.fastq.gz	12353_44_2.fastq.gz	ERR1146654	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146654/ERR1146654_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 239
steady_state_12353_cell45	ERS985830	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell45	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_45_	sequencing assay	ERX1225457	12353_45_1.fastq.gz	12353_45_1.fastq.gz	ERR1146655	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146655/ERR1146655_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 240
steady_state_12353_cell45	ERS985830	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell45	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_45_	sequencing assay	ERX1225457	12353_45_2.fastq.gz	12353_45_2.fastq.gz	ERR1146655	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146655/ERR1146655_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 240
steady_state_12353_cell47	ERS985831	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell47	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_47_	sequencing assay	ERX1225458	12353_47_1.fastq.gz	12353_47_1.fastq.gz	ERR1146656	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146656/ERR1146656_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 241
steady_state_12353_cell47	ERS985831	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell47	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_47_	sequencing assay	ERX1225458	12353_47_2.fastq.gz	12353_47_2.fastq.gz	ERR1146656	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146656/ERR1146656_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 241
steady_state_12353_cell49	ERS985832	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell49	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_49_	sequencing assay	ERX1225459	12353_49_1.fastq.gz	12353_49_1.fastq.gz	ERR1146657	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146657/ERR1146657_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 242
steady_state_12353_cell49	ERS985832	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell49	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_49_	sequencing assay	ERX1225459	12353_49_2.fastq.gz	12353_49_2.fastq.gz	ERR1146657	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146657/ERR1146657_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 242
steady_state_12353_cell51	ERS985833	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell51	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_51_	sequencing assay	ERX1225460	12353_51_1.fastq.gz	12353_51_1.fastq.gz	ERR1146658	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146658/ERR1146658_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 243
steady_state_12353_cell51	ERS985833	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell51	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_51_	sequencing assay	ERX1225460	12353_51_2.fastq.gz	12353_51_2.fastq.gz	ERR1146658	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146658/ERR1146658_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 243
steady_state_12353_cell52	ERS985834	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell52	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_52_	sequencing assay	ERX1225461	12353_52_1.fastq.gz	12353_52_1.fastq.gz	ERR1146659	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146659/ERR1146659_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 244
steady_state_12353_cell52	ERS985834	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell52	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_52_	sequencing assay	ERX1225461	12353_52_2.fastq.gz	12353_52_2.fastq.gz	ERR1146659	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146659/ERR1146659_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 244
steady_state_12353_cell53	ERS985835	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell53	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_53_	sequencing assay	ERX1225462	12353_53_1.fastq.gz	12353_53_1.fastq.gz	ERR1146660	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146660/ERR1146660_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 245
steady_state_12353_cell53	ERS985835	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell53	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_53_	sequencing assay	ERX1225462	12353_53_2.fastq.gz	12353_53_2.fastq.gz	ERR1146660	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/000/ERR1146660/ERR1146660_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 245
steady_state_12353_cell55	ERS985836	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell55	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_55_	sequencing assay	ERX1225463	12353_55_1.fastq.gz	12353_55_1.fastq.gz	ERR1146661	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146661/ERR1146661_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 246
steady_state_12353_cell55	ERS985836	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell55	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_55_	sequencing assay	ERX1225463	12353_55_2.fastq.gz	12353_55_2.fastq.gz	ERR1146661	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/001/ERR1146661/ERR1146661_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 246
steady_state_12353_cell56	ERS985837	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell56	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_56_	sequencing assay	ERX1225464	12353_56_1.fastq.gz	12353_56_1.fastq.gz	ERR1146662	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146662/ERR1146662_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 247
steady_state_12353_cell56	ERS985837	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell56	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_56_	sequencing assay	ERX1225464	12353_56_2.fastq.gz	12353_56_2.fastq.gz	ERR1146662	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/002/ERR1146662/ERR1146662_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 247
steady_state_12353_cell57	ERS985838	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell57	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_57_	sequencing assay	ERX1225465	12353_57_1.fastq.gz	12353_57_1.fastq.gz	ERR1146663	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146663/ERR1146663_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 248
steady_state_12353_cell57	ERS985838	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell57	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_57_	sequencing assay	ERX1225465	12353_57_2.fastq.gz	12353_57_2.fastq.gz	ERR1146663	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/003/ERR1146663/ERR1146663_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 248
steady_state_12353_cell61	ERS985839	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell61	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_61_	sequencing assay	ERX1225466	12353_61_1.fastq.gz	12353_61_1.fastq.gz	ERR1146664	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146664/ERR1146664_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 249
steady_state_12353_cell61	ERS985839	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell61	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_61_	sequencing assay	ERX1225466	12353_61_2.fastq.gz	12353_61_2.fastq.gz	ERR1146664	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/004/ERR1146664/ERR1146664_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 249
steady_state_12353_cell62	ERS985840	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell62	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_62_	sequencing assay	ERX1225467	12353_62_1.fastq.gz	12353_62_1.fastq.gz	ERR1146665	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146665/ERR1146665_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 250
steady_state_12353_cell62	ERS985840	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell62	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_62_	sequencing assay	ERX1225467	12353_62_2.fastq.gz	12353_62_2.fastq.gz	ERR1146665	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/005/ERR1146665/ERR1146665_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 250
steady_state_12353_cell63	ERS985841	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell63	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_63_	sequencing assay	ERX1225468	12353_63_1.fastq.gz	12353_63_1.fastq.gz	ERR1146666	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146666/ERR1146666_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 251
steady_state_12353_cell63	ERS985841	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell63	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_63_	sequencing assay	ERX1225468	12353_63_2.fastq.gz	12353_63_2.fastq.gz	ERR1146666	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/006/ERR1146666/ERR1146666_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 251
steady_state_12353_cell65	ERS985842	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell65	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_65_	sequencing assay	ERX1225469	12353_65_1.fastq.gz	12353_65_1.fastq.gz	ERR1146667	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146667/ERR1146667_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 252
steady_state_12353_cell65	ERS985842	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell65	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_65_	sequencing assay	ERX1225469	12353_65_2.fastq.gz	12353_65_2.fastq.gz	ERR1146667	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/007/ERR1146667/ERR1146667_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 252
steady_state_12353_cell66	ERS985843	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell66	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_66_	sequencing assay	ERX1225470	12353_66_1.fastq.gz	12353_66_1.fastq.gz	ERR1146668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146668/ERR1146668_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 253
steady_state_12353_cell66	ERS985843	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell66	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_66_	sequencing assay	ERX1225470	12353_66_2.fastq.gz	12353_66_2.fastq.gz	ERR1146668	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/008/ERR1146668/ERR1146668_2.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 253
steady_state_12353_cell68	ERS985844	Mus musculus	C57BL6/N	6 to 8	week	female	CD4-positive, alpha-beta T cell	none	0	day	cell	P-MTAB-46289	P-MTAB-46292	steady_state_12353_cell68	PAIRED	RT-PCR	TRANSCRIPTOMIC	not applicable	RNA-Seq	200	70	5'-3'-3'-5'	P-MTAB-46293	Wellcome Trust Sanger Institute Sequencing Facility	12353_68_	sequencing assay	ERX1225471	12353_68_1.fastq.gz	12353_68_1.fastq.gz	ERR1146669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR114/009/ERR1146669/ERR1146669_1.fastq.gz	200	101	P-MTAB-46303	stubbington_TPMs.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3857/E-MTAB-3857.processed.1.zip	none	0	day	cell 254
